experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
MI,FT,Data Engineer,114750,North America,0,North America,M
SE,FT,Data Scientist,148000,North America,100,North America,M
MI,FT,Machine Learning Engineer,333000,North America,0,North America,M
MI,FT,Data Engineer,108500,North America,0,North America,M
SE,FT,Manager,86300,North America,100,North America,M
SE,FT,Research Scientist,183523,North America,0,North America,M
EN,FT,Data Analyst,57870,North America,0,North America,M
SE,FT,Software Engineer,197829,North America,0,North America,M
MI,FT,Data Engineer,248920,North America,0,North America,M
SE,FT,Software Engineer,215658,North America,100,North America,M
SE,FT,Machine Learning Engineer,233840,North America,0,North America,M
SE,FT,Data Engineer,222200,North America,0,North America,M
SE,FT,Software Engineer,243300,North America,0,North America,M
SE,FT,Research Scientist,295000,North America,0,North America,M
MI,FT,Data Engineer,51111,Europe,0,Europe,M
MI,FT,Software Engineer,223600,North America,0,North America,L
MI,FT,Data Engineer,134600,North America,0,North America,M
SE,FT,Software Engineer,77777,Europe,100,Europe,M
